rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_country == t1.iso_country ^ t0.keywords == t1.keywords  ->  t0.wikipedia_link == t1.wikipedia_link,4111380,0.9003638351297337,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.latitude_deg == t1.latitude_deg  ->  t0.iso_country == t1.iso_country,2840,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.latitude_deg == t1.latitude_deg  ->  t0.elevation_ft == t1.elevation_ft,2808,0.9310344827586207,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.longitude_deg == t1.longitude_deg  ->  t0.name == t1.name,3044,0.9832041343669251,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.longitude_deg == t1.longitude_deg  ->  t0.wikipedia_link == t1.wikipedia_link,4026,0.9535765040265277,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.municipality == t1.municipality  ->  t0.iso_country == t1.iso_country,183232,0.9998362999421593,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.keywords == t1.keywords  ->  t0.scheduled_service == t1.scheduled_service,399940164,0.9999000000405021,0.5
airports(t0) ^ airports(t1) ^ t0.type == t1.type  ->  t0.scheduled_service == t1.scheduled_service,1334027300,0.9516873436557366,1.0
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.name == t1.name  ->  t0.keywords == t1.keywords,11720,0.9584560026169447,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code  ->  t0.iso_country == t1.iso_country,9328484,0.9362650183047979,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft  ->  t0.home_link == t1.home_link,59730824,0.9424767049891059,1.0
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.keywords == t1.keywords,2942,0.9527202072538861,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.iso_region == t1.iso_region,2828,0.9345670852610707,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,4918,0.9240886884629839,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.latitude_deg == t1.latitude_deg,2778,0.9679442508710802,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.type == t1.type  ->  t0.iata_code == t1.iata_code,12231084,0.8642892222157055,0.5
